Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Rank
BenchStudentReflect;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;11.664 us;0.3105 us;0.2905 us;9
BenchStudentEmit;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;8.893 us;0.2128 us;0.1777 us;8
BenchStudentArrayReflect;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;205.600 us;13.2858 us;12.4276 us;19
BenchStudentArrayEmit;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;93.455 us;4.6247 us;4.0997 us;16
BenchClassroomReflect;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;125.328 us;4.1419 us;3.8743 us;18
BenchClassroomEmit;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;102.707 us;1.3739 us;1.1472 us;17
BenchAccountReflect;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;40.882 us;0.6643 us;0.6214 us;15
BenchAccountEmit;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;17.055 us;0.9632 us;0.8043 us;12
BenchPropertyReflect;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;5.028 us;0.6836 us;0.6394 us;5
BenchPropertyEmit;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;3.839 us;0.4692 us;0.4389 us;4
BenchSiblingsReflect;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;3.949 us;0.5870 us;0.5490 us;4
BenchSiblingsEmit;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;2.618 us;0.1687 us;0.1495 us;1
BenchPersonWithBirthReflect;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;5.738 us;0.1477 us;0.1153 us;6
BenchPersonWithBirthEmit;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;4.875 us;0.5731 us;0.5360 us;5
BenchPersonArrayReflect;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;3.119 us;0.0915 us;0.0812 us;2
BenchPersonArrayEmit;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;2.788 us;0.3955 us;0.3699 us;1
BenchJsonUriReflect;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;3.339 us;0.0844 us;0.0748 us;3
BenchJsonUriEmit;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;3.280 us;0.3055 us;0.2858 us;3
BenchJsonGuidReflect;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;6.084 us;0.2162 us;0.1805 us;7
BenchJsonGuidEmit;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;5.371 us;0.5562 us;0.5203 us;5
BenchJsonDatetimeReflect;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;22.636 us;1.6662 us;1.5586 us;14
BenchJsonDatetimeEmit;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;15.920 us;0.4524 us;0.4231 us;11
BenchTestNumberReflect;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;20.916 us;0.9049 us;0.8464 us;14
BenchTestNumberEmit;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;14.946 us;0.3907 us;0.3655 us;10
BenchStructArrayAgendaReflect;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;6.561 us;0.7029 us;0.6575 us;7
BenchStructArrayAgendaEmit;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;6.618 us;1.0593 us;0.9909 us;7
BenchStructArrayTypeValueSpeedTestReflect;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;22.121 us;1.9451 us;1.7243 us;14
BenchStructArrayTypeValueSpeedTestEmit;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;15;Default;1;Default;Default;Default;Default;Default;16;10;18.906 us;0.5398 us;0.4508 us;13
